Origin,Destination,Via_Hub,Fare_Udeung,Remarks
광주,목포,직통,9300,전남 관내
광주,여수,직통,16800,전남 관내
광주,순천,직통,11000,전남 관내
광주,나주,직통,4300,전남 관내
광주,광양,직통,10900,전남 관내
광주,담양,직통,2900,전남 관내
광주,곡성,직통,5500,전남 관내
광주,구례,직통,9800,전남 관내
광주,고흥,직통,21000,전남 관내
광주,보성,직통,11500,전남 관내
광주,화순,직통,2500,전남 관내
광주,장흥,직통,14900,전남 관내
광주,강진,직통,15200,전남 관내
광주,해남,직통,16900,전남 관내
광주,영암,직통,8700,전남 관내
광주,무안,직통,7800,전남 관내
광주,함평,직통,5800,전남 관내
광주,영광,직통,9500,전남 관내
광주,장성,직통,2400,전남 관내
광주,완도,직통,24800,전남 관내
광주,진도,직통,19900,전남 관내
광주,남악,직통,9300,전남 관내
목포,광주,직통,9300,전남 관내
목포,여수,직통,21400,전남 관내
목포,순천,직통,15000,전남 관내
목포,나주,직통,7300,전남 관내
목포,광양,직통,17800,전남 관내
목포,담양,직통,10100,전남 관내
목포,곡성,직통,12700,전남 관내
목포,구례,직통,17000,전남 관내
목포,고흥,직통,18600,전남 관내
목포,보성,직통,13500,전남 관내
목포,화순,직통,9700,전남 관내
목포,장흥,직통,10200,전남 관내
목포,강진,직통,7800,전남 관내
목포,해남,직통,8700,전남 관내
목포,영암,직통,6400,전남 관내
목포,무안,직통,3200,전남 관내
목포,함평,직통,5100,전남 관내
목포,영광,직통,8700,전남 관내
목포,장성,직통,9600,전남 관내
목포,완도,직통,15700,전남 관내
목포,진도,직통,10800,전남 관내
목포,남악,직통,1700,전남 관내
여수,광주,직통,16800,전남 관내
여수,목포,직통,21400,전남 관내
여수,순천,직통,5000,전남 관내
여수,나주,직통,17300,전남 관내
여수,광양,직통,7500,전남 관내
여수,담양,직통,15900,전남 관내
여수,곡성,직통,18500,전남 관내
여수,구례,직통,10200,전남 관내
여수,고흥,직통,13600,전남 관내
여수,보성,직통,12800,전남 관내
여수,화순,직통,15500,전남 관내
여수,장흥,직통,16100,전남 관내
여수,강진,직통,18500,전남 관내
여수,해남,직통,21500,전남 관내
여수,영암,직통,22400,전남 관내
여수,무안,직통,19000,전남 관내
여수,함평,직통,17500,전남 관내
여수,영광,직통,20300,전남 관내
여수,장성,직통,15400,전남 관내
여수,완도,직통,28200,전남 관내
여수,진도,직통,24800,전남 관내
여수,남악,직통,20200,전남 관내
순천,광주,직통,11000,전남 관내
순천,목포,직통,15000,전남 관내
순천,여수,직통,5000,전남 관내
순천,나주,직통,12700,전남 관내
순천,광양,직통,2500,전남 관내
순천,담양,직통,10100,전남 관내
순천,곡성,직통,9400,전남 관내
순천,구례,직통,5200,전남 관내
순천,고흥,직통,8700,전남 관내
순천,보성,직통,7900,전남 관내
순천,화순,직통,9700,전남 관내
순천,장흥,직통,11100,전남 관내
순천,강진,직통,13500,전남 관내
순천,해남,직통,16600,전남 관내
순천,영암,직통,17500,전남 관내
순천,무안,직통,18200,전남 관내
순천,함평,직통,12900,전남 관내
순천,영광,직통,15700,전남 관내
순천,장성,직통,10800,전남 관내
순천,완도,직통,23200,전남 관내
순천,진도,직통,23900,전남 관내
순천,남악,직통,13800,전남 관내
나주,광주,직통,4300,전남 관내
나주,목포,직통,7300,전남 관내
나주,여수,직통,17300,전남 관내
나주,순천,직통,12700,전남 관내
나주,광양,직통,12700,전남 관내
나주,담양,직통,7200,전남 관내
나주,곡성,직통,9800,전남 관내
나주,구례,직통,14100,전남 관내
나주,고흥,직통,20500,전남 관내
나주,보성,직통,14800,전남 관내
나주,화순,직통,6800,전남 관내
나주,장흥,직통,9000,전남 관내
나주,강진,직통,8200,전남 관내
나주,해남,직통,9900,전남 관내
나주,영암,직통,4400,전남 관내
나주,무안,직통,4100,전남 관내
나주,함평,직통,3700,전남 관내
나주,영광,직통,7400,전남 관내
나주,장성,직통,6700,전남 관내
나주,완도,직통,16600,전남 관내
나주,진도,직통,17200,전남 관내
나주,남악,직통,9000,전남 관내
광양,광주,직통,10900,전남 관내
광양,목포,직통,17800,전남 관내
광양,여수,직통,7500,전남 관내
광양,순천,직통,2500,전남 관내
광양,나주,직통,12700,전남 관내
광양,담양,직통,11300,전남 관내
광양,곡성,직통,13900,전남 관내
광양,구례,직통,7700,전남 관내
광양,고흥,직통,10200,전남 관내
광양,보성,직통,9900,전남 관내
광양,화순,직통,10900,전남 관내
광양,장흥,직통,13200,전남 관내
광양,강진,직통,15600,전남 관내
광양,해남,직통,19100,전남 관내
광양,영암,직통,19500,전남 관내
광양,무안,직통,14400,전남 관내
광양,함평,직통,12900,전남 관내
광양,영광,직통,15700,전남 관내
광양,장성,직통,10800,전남 관내
광양,완도,직통,25800,전남 관내
광양,진도,직통,23400,전남 관내
광양,남악,직통,11700,전남 관내
담양,광주,직통,2900,전남 관내
담양,목포,직통,10100,전남 관내
담양,여수,직통,15900,전남 관내
담양,순천,직통,10100,전남 관내
담양,나주,직통,11300,전남 관내
담양,광양,직통,11300,전남 관내
담양,곡성,직통,8400,전남 관내
담양,구례,직통,12700,전남 관내
담양,고흥,직통,19100,전남 관내
담양,보성,직통,13400,전남 관내
담양,화순,직통,8000,전남 관내
담양,장흥,직통,14400,전남 관내
담양,강진,직통,14600,전남 관내
담양,해남,직통,16600,전남 관내
담양,영암,직통,11600,전남 관내
담양,무안,직통,8900,전남 관내
담양,함평,직통,7400,전남 관내
담양,영광,직통,10200,전남 관내
